😶‍🌫️	0	rosto nas nuvens	absentminded | cabeça nas nuvens | clouds | distraído | face | face in clouds | fog | head | rosto nas nuvens | rosto no nevoeiro
😏	0	rosto com sorriso maroto	boss | dapper | face | flerte | flirt | homie | kidding | leer | rosto | rosto com sorriso maroto | shade | slick | sly | smirk | smirking face | smug | snicker | sorriso maldoso | sorriso malicioso | sorriso maroto | suave | suspeito | suspicious | swag
😒	0	rosto aborrecido	... | aff | blasé | bored | face | fine | jealous | jel | jelly | nada engraçado | não achou graça | não está feliz | pissed | rosto | rosto aborrecido | rosto de que não achou graça | rosto de quem não achou graça | smh | ugh | uhh | unamused | unamused face | unhappy | weird | whatever
🙄	0	rosto com olhos revirados	eyeroll | eyes | face | face with rolling eyes | olhando para cima | olhos | revirando os olhos | rolando os olhos | rolling | rosto | rosto com olhos revirados | shade | tanto faz | ugh | virando os olhos | whatever
😬	0	rosto expressando desagrado	awk | awkward | careta | dentist | face | fazendo careta | grimace | grimacing | grimacing face | grinning | rosto | rosto expressando desagrado | rosto fazendo careta | sem graça | smile | smiling
😮‍💨	0	rosto exalando	alívio | assobio | assopro | blow | blowing | cansada | cansaço | choque | exalar | exausta | exhale | exhaling | exhausted | face | face exhaling | fumaça | gasp | groan | relief | rosto exalando | sigh | smiley | smoke | suspiro | triste | whisper | whistle
🤥	0	rosto de mentiroso	face | liar | lie | lying | lying face | mentindo | mentira | mentiroso | nariz crescendo | pinocchio | pinóquio | rosto de mentiroso
🫨	0	rosto tremendo	choque | crazy | daze | earthquake | face | louco | loucura | meu deus | omg | panic | pânico | rosto | rosto tremendo | shaking | shaking face | shock | surpresa | surprise | susto | terremoto | tremendo | vibrar | vibrate | vibração | whoa | wow
🙂‍↔️	0	cabeça virando de um lado para o outro	balançar | cabeça balançando na horizontal | cabeça virando de um lado para o outro | head | head shaking horizontally | horizontally | negar | no | não | shake | shaking
🙂‍↕️	0	cabeça balançando na vertical	cabeça balançando na vertical | confirmação | head | head shaking vertically | nod | shaking | sim | vertically | yes
😌	0	rosto aliviado	alívio | calm | em paz | face | peace | relief | relieved | relieved face | rosto | rosto aliviado | zen
